date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,JPM,QQQ,SPY
1980-08-28,,,,,,,1.26206636428833,,
1980-08-29,,,,,,,1.2698092460632324,,
1980-09-02,,,,,,,1.2891660928726196,,
1980-09-03,,,,,,,1.3356221914291382,,
1980-09-04,,,,,,,1.32013738155365,,
1980-09-05,,,,,,,1.3123935461044312,,
1980-09-08,,,,,,,1.32013738155365,,
1980-09-09,,,,,,,1.2891660928726196,,
1980-09-10,,,,,,,1.3007797002792358,,
1980-09-11,,,,,,,1.3240078687667847,,
1980-09-12,,,,,,,1.32013738155365,,
1980-09-15,,,,,,,1.3278800249099731,,
1980-09-16,,,,,,,1.32013738155365,,
1980-09-17,,,,,,,1.3240078687667847,,
1980-09-18,,,,,,,1.3278800249099731,,
1980-09-19,,,,,,,1.3240078687667847,,
1980-09-22,,,,,,,1.32013738155365,,
1980-09-23,,,,,,,1.3240078687667847,,
1980-09-24,,,,,,,1.3162652254104614,,
1980-09-25,,,,,,,1.2969086170196533,,
1980-09-26,,,,,,,1.2349668741226196,,
1980-09-29,,,,,,,1.2156097888946533,,
1980-09-30,,,,,,,1.2272242307662964,,
1980-10-01,,,,,,,1.2156097888946533,,
1980-10-02,,,,,,,1.2349668741226196,,
1980-10-03,,,,,,,1.2581952810287476,,
1980-10-06,,,,,,,1.2698092460632324,,
1980-10-07,,,,,,,1.2775524854660034,,
1980-10-08,,,,,,,1.2775524854660034,,
1980-10-09,,,,,,,1.2814234495162964,,
1980-10-10,,,,,,,1.2814234495162964,,
1980-10-13,,,,,,,1.2930368185043335,,
1980-10-14,,,,,,,1.2930368185043335,,
1980-10-15,,,,,,,1.2698092460632324,,
1980-10-16,,,,,,,1.2736797332763672,,
1980-10-17,,,,,,,1.2775524854660034,,
1980-10-20,,,,,,,1.2736797332763672,,
1980-10-21,,,,,,,1.2736797332763672,,
1980-10-22,,,,,,,1.2698092460632324,,
1980-10-23,,,,,,,1.26206636428833,,
1980-10-24,,,,,,,1.26206636428833,,
1980-10-27,,,,,,,1.2698092460632324,,
1980-10-28,,,,,,,1.2736797332763672,,
1980-10-29,,,,,,,1.2736797332763672,,
1980-10-30,,,,,,,1.2736797332763672,,
1980-10-31,,,,,,,1.2736797332763672,,
1980-11-03,,,,,,,1.2698092460632324,,
1980-11-05,,,,,,,1.2698092460632324,,
1980-11-06,,,,,,,1.2310947179794312,,
1980-11-07,,,,,,,1.2310947179794312,,
1980-11-10,,,,,,,1.2388384342193604,,
1980-11-11,,,,,,,1.2543236017227173,,
1980-11-12,,,,,,,1.2736797332763672,,
1980-11-13,,,,,,,1.3007797002792358,,
1980-11-14,,,,,,,1.3046518564224243,,
1980-11-17,,,,,,,1.2698092460632324,,
1980-11-18,,,,,,,1.2698092460632324,,
1980-11-19,,,,,,,1.2388384342193604,,
1980-11-20,,,,,,,1.2349668741226196,,
1980-11-21,,,,,,,1.2156097888946533,,
1980-11-24,,,,,,,1.2233521938323975,,
1980-11-25,,,,,,,1.2272242307662964,,
1980-11-26,,,,,,,1.2194806337356567,,
1980-11-28,,,,,,,1.2194806337356567,,
1980-12-01,,,,,,,1.2078672647476196,,
1980-12-02,,,,,,,1.2117379903793335,,
1980-12-03,,,,,,,1.203995943069458,,
1980-12-04,,,,,,,1.2156097888946533,,
1980-12-05,,,,,,,1.203995943069458,,
1980-12-08,,,,,,,1.2078672647476196,,
1980-12-09,,,,,,,1.1962530612945557,,
1980-12-10,,,,,,,1.2001245021820068,,
1980-12-11,,,,,,,1.203995943069458,,
1980-12-12,0.09872590750455856,,,,,,1.1962530612945557,,
1980-12-15,0.09357532858848572,,,,,,1.203995943069458,,
1980-12-16,0.08670708537101746,,,,,,1.2156097888946533,,
1980-12-17,0.08885319530963898,,,,,,1.2543236017227173,,
1980-12-18,0.09142924100160599,,,,,,1.2891660928726196,,
1980-12-19,0.0970090851187706,,,,,,1.2930368185043335,,
1980-12-22,0.10173042863607407,,,,,,1.3123935461044312,,
1980-12-23,0.10602334886789322,,,,,,1.2891660928726196,,
1980-12-24,0.11160314083099365,,,,,,1.2969086170196533,,
1980-12-26,0.12190507352352142,,,,,,1.2930368185043335,,
1980-12-29,0.12362197786569595,,,,,,1.2930368185043335,,
1980-12-30,0.12061753123998642,,,,,,1.2930368185043335,,
1980-12-31,0.11718383431434631,,,,,,1.32013738155365,,
1981-01-02,0.1184714213013649,,,,,,1.3278800249099731,,
1981-01-05,0.1158960834145546,,,,,,1.4053072929382324,,
1981-01-06,0.11074472963809967,,,,,,1.3859496116638184,,
1981-01-07,0.10602334886789322,,,,,,1.3472366333007812,,
1981-01-08,0.10387729108333588,,,,,,1.362722396850586,,
1981-01-09,0.10945708304643631,,,,,,1.4091787338256836,,
1981-01-12,0.10859870910644531,,,,,,1.4478920698165894,,
1981-01-13,0.10473576188087463,,,,,,1.4556342363357544,,
1981-01-14,0.10516498982906342,,,,,,1.4672483205795288,,
1981-01-15,0.10731104016304016,,,,,,1.4943486452102661,,
1981-01-16,0.106452576816082,,,,,,1.4982194900512695,,
1981-01-19,0.1128908172249794,,,,,,1.471119999885559,,
1981-01-20,0.10945708304643631,,,,,,1.463377833366394,,
1981-01-21,0.11160314083099365,,,,,,1.4440213441848755,,
1981-01-22,0.1128908172249794,,,,,,1.4440213441848755,,
1981-01-23,0.1124616339802742,,,,,,1.4478920698165894,,
1981-01-26,0.11074472963809967,,,,,,1.42466402053833,,
1981-01-27,0.10988634079694748,,,,,,1.4440213441848755,,
1981-01-28,0.106452576816082,,,,,,1.4324071407318115,,
1981-01-29,0.10258962959051132,,,,,,1.42466402053833,,
1981-01-30,0.0970090851187706,,,,,,1.4207934141159058,,
1981-02-02,0.09142924100160599,,,,,,1.4091787338256836,,
1981-02-03,0.09486299008131027,,,,,,1.471119999885559,,
1981-02-04,0.09829672425985336,,,,,,1.4595060348510742,,
1981-02-05,0.09829672425985336,,,,,,1.486606240272522,,
1981-02-06,0.09872590750455856,,,,,,1.4478920698165894,,
1981-02-09,0.09357532858848572,,,,,,1.463377833366394,,
1981-02-10,0.09357532858848572,,,,,,1.5020909309387207,,
1981-02-11,0.09057080745697021,,,,,,1.5020909309387207,,
1981-02-12,0.08971162885427475,,,,,,1.529189944267273,,
1981-02-13,0.08756554871797562,,,,,,1.5137056112289429,,
1981-02-17,0.08971162885427475,,,,,,1.5137056112289429,,
1981-02-18,0.09357532858848572,,,,,,1.5098336935043335,,
1981-02-19,0.0879947692155838,,,,,,1.5020909309387207,,
1981-02-20,0.08327338844537735,,,,,,1.5175765752792358,,
1981-02-23,0.08456103503704071,,,,,,1.5330618619918823,,
1981-02-24,0.08155650645494461,,,,,,1.5330618619918823,,
1981-02-25,0.08670708537101746,,,,,,1.5601619482040405,,
1981-02-26,0.0879947692155838,,,,,,1.5717754364013672,,
1981-02-27,0.0910000428557396,,,,,,1.5640332698822021,,
1981-03-02,0.09142924100160599,,,,,,1.556289792060852,,
1981-03-03,0.09014158695936203,,,,,,1.5485469102859497,,
1981-03-04,0.08928240835666656,,,,,,1.5601619482040405,,
1981-03-05,0.08885319530963898,,,,,,1.5601619482040405,,
1981-03-06,0.0879947692155838,,,,,,1.556289792060852,,
1981-03-09,0.08112730085849762,,,,,,1.5446761846542358,,
1981-03-10,0.07726359367370605,,,,,,1.5717754364013672,,
1981-03-11,0.07425904273986816,,,,,,1.5679044723510742,,
1981-03-12,0.07726359367370605,,,,,,1.5717754364013672,,
1981-03-13,0.0764051154255867,,,,,,1.5950045585632324,,
1981-03-16,0.07941043376922607,,,,,,1.6182314157485962,,
1981-03-17,0.08327338844537735,,,,,,1.633717656135559,,
1981-03-18,0.088423952460289,,,,,,1.6646884679794312,,
1981-03-19,0.08756554871797562,,,,,,1.6685599088668823,,
1981-03-20,0.088423952460289,,,,,,1.6569461822509766,,
1981-03-23,0.09185848385095596,,,,,,1.633717656135559,,
1981-03-24,0.09142924100160599,,,,,,1.637589693069458,,
1981-03-25,0.08971162885427475,,,,,,1.641460657119751,,
1981-03-26,0.0879947692155838,,,,,,1.633717656135559,,
1981-03-27,0.0849902555346489,,,,,,1.6143615245819092,,
1981-03-30,0.0849902555346489,,,,,,1.633717656135559,,
1981-03-31,0.08413179963827133,,,,,,1.6453311443328857,,
1981-04-01,0.08327338844537735,,,,,,1.6724319458007812,,
