date,sentiment_score
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.2732
2011-06-07,0.0
2011-06-09,0.4754
2011-06-14,0.17
2011-06-16,0.8482
2011-06-20,0.4574
2011-06-21,0.38675
2011-06-23,0.3612
2011-06-24,0.0
2011-06-27,0.42845
2011-07-01,0.63295
2011-07-05,0.401
2011-07-06,-0.7603
2011-07-07,0.18206666666666668
2011-07-08,-0.764425
2011-07-11,0.0
2011-07-12,0.008599999999999997
2011-07-13,-0.3612
2011-07-14,-0.025675
2011-07-15,0.1546
2011-07-18,0.21494
2011-07-19,-0.0931
2011-07-20,-0.0864
2011-07-21,-0.6249
2011-07-22,-0.29295
2011-07-25,-0.10329999999999999
2011-07-26,-0.23176000000000002
2011-07-27,-0.32916
2011-07-28,-0.09305000000000004
2011-07-29,0.14178571428571426
2011-07-30,-0.3301
2011-08-01,0.210125
2011-08-02,-0.2912333333333333
2011-08-03,0.02062857142857144
2011-08-04,-0.189975
2011-08-05,-0.2114666666666667
2011-08-08,0.1909
2011-08-09,-0.05181666666666667
2011-08-10,0.025866666666666666
2011-08-11,0.0
2011-08-12,0.24003333333333332
2011-08-13,0.28030000000000005
2011-08-15,-0.0018428571428571303
2011-08-16,-0.0172
2011-08-17,-0.0018749999999999878
2011-08-18,-0.09904999999999999
2011-08-19,0.3207333333333333
2011-08-22,-0.004574999999999996
2011-08-23,-0.433975
2011-08-24,-0.1328666666666667
2011-08-25,-0.02112499999999999
2011-08-26,0.08614000000000002
2011-08-29,-0.06878571428571426
2011-08-30,-0.14456666666666665
2011-08-31,-0.22632000000000002
2011-09-01,-0.43532499999999996
2011-09-02,-0.38544999999999996
2011-09-06,-0.17744
2011-09-07,0.12178
2011-09-08,-0.10758333333333332
2011-09-09,-0.02463333333333334
2011-09-12,0.10569166666666667
2011-09-13,0.10605624999999999
2011-09-14,0.13731666666666667
2011-09-15,0.2044
2011-09-16,0.38694999999999996
2011-09-18,0.0
2011-09-19,0.07381818181818182
2011-09-20,-0.19215
2011-09-21,0.23538333333333336
2011-09-22,-0.23142857142857146
2011-09-23,0.19094285714285714
2011-09-26,-0.65855
2011-09-27,-0.11088333333333333
2011-09-28,0.22306666666666666
2011-09-29,0.060929411764705885
2011-09-30,-0.058662500000000006
2011-10-03,0.09677777777777778
2011-10-04,0.19720000000000001
2011-10-05,-0.08424999999999999
2011-10-06,-0.328225
2011-10-07,-0.15018333333333336
2011-10-11,0.050685714285714285
2011-10-12,0.40845
2011-10-13,0.0
2011-10-14,-0.4937333333333333
2011-10-15,0.0
2011-10-16,0.7184
2011-10-17,0.016769230769230762
2011-10-18,-0.2022142857142857
2011-10-19,-0.15658
2011-10-20,-0.1608
2011-10-21,-0.24760000000000001
2011-10-24,-0.011800000000000014
2011-10-25,0.14437692307692307
2011-10-26,-0.015757142857142848
2011-10-27,0.13996000000000003
2011-10-28,-0.14355
2011-10-31,0.0
2011-11-01,-0.2906166666666667
2011-11-02,-0.22083750000000002
2011-11-04,-0.26549999999999996
2011-11-08,-0.30122
2011-11-09,-0.06736
