date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,JPM,QQQ,SPY
2025-03-31,222.1300048828125,375.3900146484375,154.63999938964844,190.25999450683594,108.37999725341797,576.3599853515625,243.79832458496094,468.9200134277344,559.3900146484375
2025-04-01,223.19000244140625,382.19000244140625,157.07000732421875,192.1699981689453,110.1500015258789,586.0,242.16836547851562,472.70001220703125,560.969970703125
2025-04-02,223.88999938964844,382.1400146484375,157.0399932861328,196.00999450683594,110.41999816894531,583.9299926757812,244.3151397705078,476.1499938964844,564.52001953125
2025-04-03,203.19000244140625,373.1099853515625,150.72000122070312,178.41000366210938,101.80000305175781,531.6199951171875,227.29000854492188,450.6600036621094,536.7000122070312
2025-04-04,188.3800048828125,359.8399963378906,145.60000610351562,171.0,94.30999755859375,504.7300109863281,210.27999877929688,422.6700134277344,505.2799987792969
2025-04-07,181.4600067138672,357.8599853515625,146.75,175.25999450683594,97.63999938964844,516.25,214.44000244140625,423.69000244140625,504.3800048828125
2025-04-08,172.4199981689453,354.55999755859375,144.6999969482422,170.66000366210938,96.30000305175781,510.45001220703125,216.8699951171875,416.05999755859375,496.4800109863281
2025-04-09,198.85000610351562,390.489990234375,158.7100067138672,191.10000610351562,114.33000183105469,585.77001953125,234.33999633789062,466.0,548.6199951171875
2025-04-10,190.4199981689453,381.3500061035156,152.82000732421875,181.22000122070312,107.56999969482422,546.2899780273438,227.11000061035156,446.17999267578125,524.5800170898438
2025-04-11,198.14999389648438,388.45001220703125,157.13999938964844,184.8699951171875,110.93000030517578,543.5700073242188,236.1999969482422,454.3999938964844,533.9400024414062
